ha	a
abasto	a~basto
aquí	a~cí
aquí	a~cí
adrede	a~drede
ha~ganado	a~ganado
ha~producido	a~producido
aquí	a~quí
ha~roto	a~roto
había	abia
había	abia
habitación	abitación
habitual	abitual
habla	abla
hablar	ablar
hablaron	ablaron
hablar	abra
hablar	abra
hablar	abra
absorber	absorver
absorbiendo	absorviendo
agua	abua
adverbios	abverbios
adverbios	abvervios
adverbios	abvervios
a~cabo	acabo
aceptación	acceptación
accesibilidad	accessiblidad
accesibilidad	accessiblidad
accesibilidad	accessiblidad
accesibilidad	acdesiblidad
accesibilidad	acdesiblidad
hace	ace
hacemos	acenos
hacemos	acenos
hacer	acer
aceptado	acetado
adjetivo	acetino
adjetivo	acetino
adjetivo	acetino
aquí	ací
aquí	ací
así	ací
hacía	acía
acompaña	acompanya
acompaña	acompanya
accesibilidad	acsecibilidad
accesibilidad	acsecibilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
actividades	actibidades
actividades	activicades
accesibilidad	aczecibilidad
accesibilidad	aczecibilidad
adverbios	adbervios
adverbios	adbervios
adjetivo	adjetibo
admiten	admin
admiten	admin
admiten	admin
admiten	admin
admiten	admin
adverbios	advervios
hago	ago
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agujero	agugero
año	aho
hay	ai
aeropuerto	airopuerto
ayuntamiento	aiuntamiento
aquí	ají
aquí	ají
año	ajo
agua	ajua
a~jugar	ajugar
alrededor	al~readedor
alrededor	al~readedor
alrededor	al~rededor
a~la~ley	alaley
a~la~ley	alaley
alcalde	alcade
alfabetización	alfavetización
aliviado	alibiado
alienígena	aliengena
aya	alla
aya	alla
haya	alla
haya	alla
haya	alla
ayer	aller
ayer	aller
año	allo
año	allo
ayudarme	alludarme
ayudarme	alludarme
ayuntamiento	alluntamiento
ayuntamiento	alluntamiento
al~primero	alprimero
alrededor	alrrederdor
alrededor	alrrederdor
aliviado	alviado
han	an
alcalde	ancalde
animales	animale
antiguo	antguo
antropónimos	antropómimo
antropónimos	antropómimo
atún	antún
ambiente	anviente
ambiente	anviente
año	anyo
año	anyo
años	anyos
años	anyos
años	añyos
ahogarse	aogarse
ahora	aora
aprovechar	aprobechar~
aprovechar	aprobechar~
aquí~también	aquítambién
harán	arán
arrastraba	arastaba
arrastraba	arastaba
arbolazo	arbazo
arbolazo	arbazo
arbolazo	arbazo
arbolazo	arbazo
arboles	arbolls
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
hace	are
hace	are
hará	aré
arrastraba	arrastrava
arrestar	arresta
arrestaron	arsestaron
artilugio	artilujio
arquitectura	artitectura
arquitectura	artitectura
asesinada	assesinada
asteroide	asterioda
tenis	atenis
adjetivo	atjetivo
aunque	aun~que
aúno	aúnno
autobús	autovús
a~veces	aveces
haber	aver
haber	aver
hábil	ávil
hábil	ávil
habitación	avitación
habitación	avitación
agua	avua
hay	ay
ayuntamiento	ayunamyento
ayuntamiento	ayunamyento
haz	az
hace	aze
hace	aze
hacer	azer
hacer	azer
acercó	azercó
azul	azsul
actrices	aztrices
pagar	bagar
vamos	bamos
variable	bariable
varias	barias
bastante	bastant
baobab	baubab
ve	be
beber	beder
deber	beder
deber	beder
beneficiario	beneciciario
beneficioso	benecicioso
beneficiario	beneficirio
beneficiario	benefiziario
ventana	bentana
verdadera	berdadera
berenjena	beregena
berenjena	beregena
berenjena	berengena
berenjenas	berengenas
vestir	bestir
viejo	biejo
viejo	biejo
bienvenido	bien~venido
bien	bienm
vio	bió
blanco	blamco
blanquecina	blancecina
blanquecina	blancecina
vocal	bocal
voy	boi
voy	boi
voy~a	boia
voy~a	boia
voy~a	boia
volar	bolar
donde	bonde
vos~los	bos~los
voy	boy
vudú	budú
burro	buro
busco	buso
callejón	caejón
callejón	caejón
callejón	caejón
cayó	caió
calabacines	calavacines
salida	calida
salida	calira
salida	calira
callejón	callegón
comisaría	camisería
comisaría	camisería
camping	campin
canción	canció
cantaríamos	cantarímo
cantaríamos	cantarímo
contempló	cantemplór
contempló	cantemplór
