%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p10.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c5 {yes,no}
@attribute c8 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute webhits integer
@attribute three_consonants {yes,no}
@attribute has_double_letter {yes,no}
@attribute has_x {yes,no}
@attribute has_h {yes,no}
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

"a la ley", 0, no, no, yes, no, no, 8,0.375,513000000, no, no, no, no, no, no, yes
"absorber", 8, yes, no, no, no, no, 8,0.375,11900000, no, no, no, no, no, no, yes
"absorbiendo", 2, yes, no, no, no, no, 11,0.454545,999000, no, no, no, no, no, no, yes
"accesibilidad", 1, no, no, no, no, no, 13,0.461538,10200000, no, yes, no, no, no, no, yes
"aceptación", 1, no, no, no, no, no, 10,0.5,21700000, no, no, no, no, no, no, yes
"aceptado", 9, no, no, no, no, no, 8,0.5,8400000, no, no, no, no, no, no, yes
"acercó", 6, no, no, no, no, no, 6,0.5,3540000, no, no, no, no, no, no, yes
"acompaña", 11, no, no, no, no, no, 8,0.5,7340000, no, no, no, no, no, no, yes
"actividades", 1, no, no, no, no, no, 11,0.454545,116000000, no, no, no, no, no, no, yes
"adentró", 6, no, no, no, no, no, 7,0.428571,1330000, yes, no, no, no, no, no, yes
"admiten", 5, no, no, no, no, no, 7,0.428571,10800000, no, no, no, no, no, no, yes
"adrede", 2, no, no, no, no, no, 6,0.5,1130000, no, no, no, no, no, no, yes
"adverbios", 2, yes, no, no, no, no, 9,0.444444,1210000, no, no, no, no, no, no, yes
"aeropuerto", 2, no, no, no, no, no, 10,0.6,30500000, no, no, no, no, yes, no, yes
"agradecerá", 5, no, no, no, no, no, 10,0.5,5880000, no, no, no, no, no, no, yes
"ahora", 22, no, no, no, no, no, 5,0.6,273000000, no, no, no, yes, no, no, yes
"al primero", 0, no, no, no, no, no, 10,0.4,529000000, no, no, no, no, no, no, yes
"alcalde", 4, no, no, no, no, no, 7,0.428571,30800000, no, no, no, no, no, no, yes
"animales", 7, no, no, no, no, no, 8,0.5,79500000, no, no, no, no, no, no, yes
"antropómimo", 1, no, no, no, no, no, 11,0.454545,3, yes, no, no, no, no, no, yes
"antropónimos", 2, no, no, no, no, no, 12,0.416667,54700, yes, no, no, no, no, no, yes
"aprovechar", 9, no, no, no, no, no, 10,0.4,13500000, no, no, no, yes, no, no, yes
"aquí también", 0, no, no, no, yes, no, 12,0.5,268000000, no, no, no, no, no, no, yes
"arbolazo", 1, no, no, no, no, no, 8,0.5,13900, no, no, no, no, no, no, yes
"arrastraba", 6, no, no, no, no, no, 10,0.4,1490000, yes, yes, no, no, no, no, yes
"arrestar", 10, no, no, no, no, no, 8,0.375,1860000, no, yes, no, no, no, no, yes
"asesinada", 6, no, no, no, no, no, 9,0.555556,2210000, no, no, no, no, no, no, yes
"aya", 37, no, no, yes, no, no, 3,0.666667,29700000, no, no, no, no, no, no, yes
"ayer", 11, no, no, yes, no, no, 4,0.5,72500000, no, no, no, no, no, no, yes
"año", 27, no, no, no, no, no, 3,0.666667,280000000, no, no, no, no, no, no, yes
"bailar", 13, no, no, no, no, no, 6,0.5,13400000, no, no, no, no, no, no, yes
"banco", 17, no, no, no, no, no, 5,0.4,121000000, no, no, no, no, no, no, yes
"batir", 8, no, no, no, no, no, 5,0.4,3330000, no, no, no, no, no, no, yes
"beber", 10, yes, no, no, no, no, 5,0.4,28900000, no, no, no, no, no, no, yes
"beneficiario", 4, no, no, no, no, no, 12,0.583333,3400000, no, no, no, no, no, no, yes
"beneficioso", 4, no, no, no, no, no, 11,0.545455,1810000, no, no, no, no, no, no, yes
"billones", 6, no, no, no, no, no, 8,0.375,1810000, no, yes, no, no, no, no, yes
"blanco", 9, no, no, no, no, no, 6,0.333333,121000000, no, no, no, no, no, no, yes
"boli", 9, no, no, no, no, no, 4,0.5,18200000, no, no, no, no, no, no, yes
"burro", 21, no, no, no, no, no, 5,0.4,13600000, no, yes, no, no, yes, no, yes
"buscaba", 6, yes, no, no, no, no, 7,0.428571,6130000, no, no, no, no, no, no, yes
"busco", 13, no, no, no, no, no, 5,0.4,46100000, no, no, no, no, yes, no, yes
"cantaríamos", 12, no, no, no, no, no, 11,0.454545,52200, no, no, no, no, no, no, yes
"castaño", 5, no, no, no, no, no, 7,0.428571,8860000, no, no, no, no, no, no, yes
"catastrófica", 3, no, no, no, no, no, 12,0.416667,1140000, yes, no, no, no, no, no, yes
"cereza", 11, no, no, no, no, no, 6,0.5,2370000, no, no, no, no, no, no, yes
"cinco mil", 0, no, no, no, no, no, 9,0.333333,2510000, no, no, no, no, no, no, yes
"civilización", 1, no, no, no, no, no, 12,0.5,3890000, no, no, no, no, no, no, yes
"clerecía", 3, no, no, no, no, no, 8,0.5,166000, no, no, no, no, no, no, yes
"cobo", 30, no, no, no, no, no, 4,0.5,3220000, no, no, no, no, no, no, yes
"cogió", 7, no, yes, no, no, no, 5,0.6,1640000, no, no, no, no, no, no, yes
"comer", 11, no, no, no, no, no, 5,0.4,73600000, no, no, no, no, no, no, yes
"comparación", 2, no, no, no, no, no, 11,0.454545,20900000, no, no, no, no, no, no, yes
"compañeros", 3, no, no, no, no, no, 10,0.4,24400000, no, no, no, no, no, no, yes
"comprobó", 2, no, no, no, no, no, 8,0.375,1420000, yes, no, no, no, no, no, yes
"conectarse", 6, no, no, no, no, no, 10,0.4,11400000, no, no, no, no, no, no, yes
"congelados", 6, no, yes, no, no, no, 10,0.4,4320000, no, no, no, no, no, no, yes
"consigue", 4, no, no, no, no, yes, 8,0.5,27400000, no, no, no, no, yes, no, yes
