%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p6
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute c10 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute webhits integer
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

45, 397, 1, no, no, no, no, no, no, no, no, no, no, 1, 1, no, no, no, yes, no, no, 25270000000, no, no, yes
1, 23, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, 450000000, no, no, yes
0, 11, 3, no, yes, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 42900000, no, no, yes
0, 0, 3, no, no, no, no, yes, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, 426000000, no, no, yes
1, 18, 3, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 311000000, no, no, yes
10, 126, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, 15400000, no, no, yes
8, 36, 3, yes, no, no, no, no, no, no, no, yes, no, 8, 0.375, no, no, no, no, no, no, 62000000, no, no, yes
2, 7, 5, yes, no, no, no, no, no, no, no, yes, no, 11, 0.454545, no, yes, no, no, no, no, 1380000, no, no, yes
1, 4, 6, no, no, no, no, no, no, no, no, yes, no, 13, 0.461538, no, no, no, no, no, yes, 174000000, no, no, yes
1, 15, 5, no, no, no, no, no, no, no, no, no, no, 10, 0.5, no, yes, no, no, no, no, 118000000, no, no, yes
9, 89, 4, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, 56600000, no, no, yes
6, 92, 3, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, 19300000, no, no, yes
11, 48, 4, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, 53900000, no, no, yes
