%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p6
@attribute word string
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute c10 {yes,no}
@attribute c11 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute webhits integer
@attribute has_o_and_u {yes,no}
@attribute has_ua {yes,no}
@attribute difficult {yes,no}
@data

"aceptado", 9, 89, 4, no, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, 56600000, no, no, yes
"agradecerá", 5, 21, 5, no, no, no, no, no, no, no, no, no, no, no, 10, 0.5, no, no, no, no, no, no, 24000000, no, no, yes
"ahogarse", 7, 71, 4, no, no, yes, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, yes, no, 1590000, no, no, yes
"alfabetización", 1, 1, 7, no, no, no, no, no, no, no, no, no, no, no, 14, 0.5, no, yes, no, no, no, no, 16300000, no, no, yes
"alienígena", 1, 2, 6, no, no, no, no, no, no, no, no, no, no, no, 10, 0.6, no, yes, no, no, no, no, 5250000, no, no, yes
"ambiente", 7, 24, 4, no, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, 813000000, no, no, yes
"antropómimo", 1, 3, 5, no, no, no, no, no, no, yes, no, no, no, no, 11, 0.454545, yes, no, no, no, no, no, 62400, no, no, yes
"aprovechar", 9, 36, 4, no, no, yes, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, yes, no, 86900000, no, no, yes
"artilugio", 2, 3, 5, no, no, no, no, no, no, no, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, 1270000, yes, no, yes
"aunque", 7, 85, 4, no, no, no, no, no, no, no, yes, no, no, no, 6, 0.666667, no, yes, no, no, no, no, 407000000, no, no, yes
"año", 27, 516, 2, no, no, no, no, no, no, no, no, no, no, no, 3, 0.666667, no, no, no, yes, no, no, 860000000, no, no, yes
"bailar", 13, 171, 3, no, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, 42500000, no, no, yes
"be", 25, 425, 1, no, no, no, no, no, no, no, no, no, no, no, 2, 0.5, no, no, no, yes, no, no, 5190000000, no, no, yes
"bella", 13, 204, 2, no, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, yes, 581000000, no, no, yes
"blanco", 9, 98, 2, no, no, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, 369000000, no, no, yes
"cartón", 13, 192, 2, no, no, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, 33900000, no, no, yes
"catastrófica", 3, 4, 5, no, no, no, no, no, no, no, no, no, no, no, 12, 0.416667, yes, no, no, no, no, no, 4010000, no, no, yes
"coger", 12, 173, 2, no, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, 33400000, no, no, yes
"comer", 11, 261, 2, no, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, 72400000, no, no, yes
"comisaría", 6, 55, 5, no, no, no, no, no, no, no, no, no, no, no, 9, 0.555556, no, yes, no, no, no, no, 18300000, no, no, yes
"comparación", 2, 11, 5, no, no, no, no, no, no, no, no, no, no, no, 11, 0.454545, no, yes, no, no, no, no, 112000000, no, no, yes
"compañeros", 3, 18, 4, no, no, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, 104000000, no, no, yes
"conjunto", 8, 35, 3, no, no, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, 381000000, yes, no, yes
"conservantes", 2, 11, 4, no, no, no, no, no, no, no, no, no, no, no, 12, 0.333333, no, no, no, no, no, no, 4350000, no, no, yes
"contento", 11, 73, 3, no, no, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, 52900000, no, no, yes
"corazón a cien", 0, 0, 6, no, no, no, no, no, no, no, no, no, no, no, 14, 0.428571, no, yes, no, no, no, no, 16700000, no, no, yes
"cuaderno", 4, 17, 4, no, no, no, no, no, no, no, yes, no, no, no, 8, 0.5, no, yes, no, no, no, no, 35000000, yes, yes, yes
"cuales", 13, 342, 3, no, no, no, no, no, no, no, yes, no, no, no, 6, 0.5, no, yes, no, no, no, no, 322000000, no, yes, yes
"cuando", 18, 248, 3, no, no, no, no, no, no, no, yes, no, no, no, 6, 0.5, no, yes, no, no, no, no, 791000000, yes, yes, yes
"cuantos", 11, 137, 3, no, no, no, no, no, no, no, yes, no, no, no, 7, 0.428571, no, yes, no, no, no, no, 90500000, yes, yes, yes
"cuatro", 6, 117, 3, no, no, no, no, no, no, no, yes, no, no, no, 6, 0.5, no, yes, no, no, no, no, 426000000, yes, yes, yes
"de agua", 1, 11, 4, no, no, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, 373000000, no, yes, yes
"de cartón", 0, 3, 3, no, no, no, no, no, no, no, no, no, no, no, 9, 0.333333, no, no, no, no, no, no, 117000000, no, no, yes
"de la ley", 0, 0, 3, no, no, no, no, yes, no, no, no, no, no, no, 9, 0.333333, no, no, no, no, no, no, 429000000, no, no, yes
"decir", 3, 74, 2, no, no, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, 390000000, no, no, yes
"del año", 0, 5, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 778000000, no, no, yes
"deprisa", 2, 31, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 5290000, no, no, yes
"desarrollo", 6, 21, 4, no, no, no, no, no, yes, no, no, no, no, no, 10, 0.4, no, no, no, no, no, yes, 632000000, no, no, yes
"descontado", 9, 85, 4, no, no, no, no, no, no, no, no, yes, no, no, 10, 0.4, no, no, no, no, no, no, 7570000, no, no, yes
"desechando", 6, 43, 4, no, no, yes, no, no, no, no, no, yes, no, no, 10, 0.4, no, no, no, no, yes, no, 805000, no, no, yes
"dibujo", 6, 27, 3, no, no, no, no, no, no, no, no, yes, no, no, 6, 0.5, no, no, no, yes, no, no, 59400000, yes, no, yes
"diciembre", 2, 3, 4, no, no, no, no, no, no, no, no, yes, no, no, 9, 0.444444, yes, yes, no, no, no, no, 618000000, no, no, yes
"difícil", 1, 4, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, yes, no, no, 667000000, no, no, yes
"dije", 11, 231, 2, no, no, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, 56300000, no, no, yes
"dirigirse", 6, 30, 4, no, no, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, no, no, no, no, no, 40400000, no, no, yes
"ejemplo", 2, 6, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, yes, no, no, no, no, no, 328000000, no, no, yes
"empezado", 9, 85, 4, no, no, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, 31300000, no, no, yes
"escena", 6, 111, 3, no, no, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, 86300000, no, no, yes
"escribe", 9, 56, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, yes, no, no, no, no, no, 233000000, no, no, yes
"escriben", 7, 48, 3, no, no, no, no, no, no, no, no, no, no, no, 8, 0.375, yes, no, no, no, no, no, 21000000, no, no, yes
"esta", 21, 397, 2, no, no, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, no, no, no, 742000000, no, no, yes
"estabas", 16, 295, 3, no, no, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, 4780000, no, no, yes
"estrictamente", 2, 6, 5, no, no, no, no, no, no, no, no, no, no, no, 13, 0.384615, yes, no, no, no, no, no, 58200000, no, no, yes
"experimentos", 4, 20, 5, no, no, no, no, no, no, no, no, no, no, no, 12, 0.416667, no, no, yes, no, no, no, 33400000, no, no, yes
"fricción", 4, 21, 3, no, no, no, no, no, no, no, no, no, no, no, 8, 0.375, no, yes, no, no, no, yes, 1240000, no, no, yes
