%We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p5.cpp
@relation whole_set_p5
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c8 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute v_percentage real
@attribute three_consonants {yes,no}
@attribute two_vowels {yes,no}
@attribute has_x {yes,no}
@attribute alternada {yes,no}
@attribute has_h {yes,no}
@attribute has_double_letter {yes,no}
@attribute difficult {yes,no}
@data

0, 0, 3, no, no, no, no, yes, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
1, 4, 6, no, no, no, no, no, no, no, no, yes, 13, 0.461538, no, no, no, no, no, yes, yes
9, 89, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, yes
6, 20, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, no, no, no, yes
5, 50, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
9, 67, 4, no, yes, no, no, no, no, no, no, no, 7, 0.571429, no, no, no, yes, no, no, yes
1, 5, 4, no, no, no, no, no, no, no, no, yes, 9, 0.444444, no, no, no, no, no, no, yes
1, 3, 5, no, no, no, no, no, no, yes, no, no, 11, 0.454545, yes, no, no, no, no, no, yes
10, 204, 3, no, no, no, no, no, no, no, no, no, 4, 0.75, no, yes, no, no, no, no, yes
8, 124, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
27, 286, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
21, 264, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, yes, yes
7, 71, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, yes, no, no, no, no, yes
2, 5, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
19, 349, 2, no, no, no, no, yes, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
0, 0, 3, no, no, no, no, no, no, no, no, no, 9, 0.333333, no, no, no, no, no, no, yes
4, 15, 4, no, no, no, no, no, no, no, yes, no, 10, 0.4, no, no, no, no, no, no, yes
8, 168, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
2, 10, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, yes, no, no, no, no, no, yes
6, 42, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, yes
3, 19, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, yes, no, no, no, yes
2, 13, 4, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, yes, no, no, no, no, yes
6, 45, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, yes
1, 11, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, no, no, yes
0, 0, 7, yes, no, yes, no, no, no, no, no, yes, 14, 0.5, no, yes, no, no, yes, no, yes
0, 4, 3, no, no, no, no, no, no, no, no, no, 9, 0.333333, no, no, no, no, no, no, yes
10, 166, 2, no, no, no, no, no, no, no, no, yes, 5, 0.4, no, no, no, yes, no, no, yes
2, 2, 6, no, no, no, no, no, no, no, no, yes, 12, 0.5, no, yes, no, no, no, no, yes
6, 27, 3, no, no, no, no, no, no, no, no, yes, 6, 0.5, no, no, no, yes, no, no, yes
4, 29, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, yes, no, no, yes
3, 15, 3, no, no, no, yes, no, no, no, no, no, 9, 0.333333, yes, no, no, no, no, no, yes
6, 51, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
1, 11, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, yes, no, no, no, no, yes
9, 159, 2, no, no, no, no, no, no, no, no, yes, 5, 0.4, no, no, no, no, no, no, yes
7, 34, 4, no, no, no, no, no, no, no, yes, no, 9, 0.444444, yes, yes, no, no, no, no, yes
10, 62, 4, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, no, no, no, no, no, yes
11, 87, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, no, no, no, yes
5, 18, 4, yes, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
9, 56, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, yes, no, no, no, no, no, yes
22, 361, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
6, 11, 6, no, no, no, no, no, no, no, no, no, 10, 0.6, no, yes, no, no, no, no, yes
1, 14, 5, no, no, no, yes, no, no, no, no, no, 10, 0.5, no, yes, yes, no, no, no, yes
4, 20, 5, no, no, no, no, no, no, no, no, no, 12, 0.416667, no, no, yes, no, no, no, yes
1, 20, 4, no, no, no, no, no, no, no, no, no, 9, 0.444444, yes, yes, yes, no, no, no, yes
14, 246, 3, no, no, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
0, 10, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, no, no, yes
3, 25, 4, no, no, no, no, no, no, no, no, no, 7, 0.571429, no, yes, yes, no, no, no, yes
6, 48, 4, no, no, no, no, no, no, no, no, yes, 9, 0.444444, no, yes, no, no, no, no, yes
6, 97, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
9, 94, 3, no, no, yes, no, no, no, no, no, no, 6, 0.5, no, yes, no, no, yes, no, yes
18, 403, 2, no, no, yes, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, yes, no, yes
27, 431, 2, no, no, yes, no, yes, no, no, no, no, 5, 0.4, no, no, no, yes, yes, no, yes
4, 35, 4, no, no, yes, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, yes, no, yes
13, 55, 4, no, no, yes, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, yes, no, yes
4, 40, 4, no, no, yes, no, no, no, no, no, no, 7, 0.571429, no, yes, no, no, yes, no, yes
2, 3, 6, no, no, no, yes, no, no, yes, no, no, 15, 0.4, no, yes, no, no, no, no, yes
3, 26, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
9, 36, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, yes, yes
2, 10, 5, yes, no, no, no, no, no, no, no, no, 11, 0.454545, no, yes, no, no, no, no, yes
17, 183, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
3, 20, 2, no, no, no, no, yes, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, yes
10, 144, 3, no, yes, no, no, no, no, no, no, no, 5, 0.6, no, yes, no, no, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, no, 10, 0.4, no, no, no, no, no, no, yes
15, 264, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
25, 322, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
1, 40, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, yes
0, 0, 6, no, no, no, no, no, no, no, no, yes, 13, 0.461538, no, yes, no, no, no, no, yes
6, 134, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, no, no, no, no, no, no, yes
4, 21, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, yes, yes, no, no, yes
4, 20, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, yes, yes, no, no, yes
5, 32, 3, no, no, yes, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, yes, no, yes
4, 16, 5, no, no, no, no, no, no, yes, no, no, 11, 0.454545, no, no, no, yes, no, no, yes
2, 38, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
8, 67, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, yes, no, no, no, no, no, yes
15, 208, 2, no, no, yes, no, no, no, no, no, no, 5, 0.4, no, no, no, no, yes, no, yes
10, 61, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, yes, yes, no, no, no, no, yes
3, 4, 6, no, no, no, no, no, no, no, no, yes, 12, 0.5, no, yes, no, no, no, no, yes
22, 432, 1, no, no, no, no, no, no, no, no, no, 2, 0.5, no, no, no, yes, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
8, 124, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
31, 406, 3, no, no, no, no, no, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
11, 147, 3, no, no, no, no, yes, no, no, no, no, 6, 0.5, no, no, no, yes, no, no, yes
4, 36, 4, no, no, no, no, no, no, no, yes, no, 7, 0.571429, no, yes, no, no, no, no, yes
4, 14, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
0, 27, 2, no, no, no, no, no, no, no, no, no, 6, 0.333333, yes, no, no, no, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, no, 12, 0.333333, yes, no, no, no, no, no, yes
8, 34, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
11, 40, 4, no, no, no, no, no, no, no, no, no, 9, 0.444444, no, yes, no, no, no, no, yes
9, 51, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
1, 6, 5, yes, no, no, no, no, no, no, no, yes, 13, 0.384615, no, no, no, no, no, no, yes
7, 25, 4, no, no, no, no, no, no, no, no, no, 11, 0.363636, no, no, no, no, no, no, yes
7, 26, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
10, 78, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, yes, no, no, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, yes, no, 9, 0.444444, no, yes, no, no, no, no, yes
0, 1, 4, no, no, no, no, no, no, no, yes, no, 7, 0.571429, no, yes, no, no, no, no, yes
15, 158, 3, no, no, no, no, no, no, no, yes, no, 5, 0.6, no, yes, no, no, no, no, yes
4, 36, 5, no, no, no, no, no, yes, no, no, no, 11, 0.454545, no, yes, no, no, no, no, yes
7, 36, 3, no, no, no, no, no, no, no, no, no, 8, 0.375, no, no, no, no, no, no, yes
4, 68, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, yes, yes
13, 104, 4, no, no, no, no, no, no, no, no, no, 8, 0.5, no, no, no, yes, no, no, yes
17, 159, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, yes, no, no, yes
17, 346, 2, no, no, no, no, yes, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
43, 631, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
20, 400, 2, no, no, no, no, no, no, no, no, no, 4, 0.5, no, no, no, yes, no, no, yes
0, 45, 2, no, no, yes, no, no, no, no, no, no, 5, 0.4, no, no, no, no, yes, no, yes
1, 1, 6, no, no, no, no, no, no, no, no, no, 13, 0.461538, no, no, no, no, no, no, yes
10, 125, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, no, no, no, yes
3, 4, 6, no, no, no, no, no, no, no, no, no, 14, 0.428571, no, no, no, no, no, no, yes
0, 0, 4, no, no, no, no, no, no, no, no, no, 11, 0.363636, no, no, no, no, no, no, yes
2, 16, 6, no, no, no, yes, no, yes, no, no, no, 13, 0.461538, no, no, no, yes, no, no, yes
6, 108, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
1, 2, 2, no, no, no, no, no, no, no, no, no, 7, 0.285714, yes, no, no, no, no, no, yes
0, 3, 3, no, no, no, no, no, no, no, no, no, 7, 0.428571, no, no, no, no, no, no, yes
6, 269, 2, no, no, no, no, no, no, no, no, no, 5, 0.4, no, no, no, yes, no, no, yes
0, 0, 7, no, no, no, no, no, no, yes, no, no, 15, 0.466667, yes, yes, no, no, no, no, yes
24, 461, 2, no, no, no, no, no, no, no, no, no, 3, 0.666667, no, no, no, yes, no, no, yes
