"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"V1" 1 0.949073830509282 -0.544694154697329 -0.15787975706157 -0.113558222670101 0.0286682170345019 -0.238330363846009 -0.00098660780882971 -0.259581749828006 -0.215139550797564 -0.0688269177019038 -0.165850309844484 -0.0771792199611474 -0.0299907473536416 -0.0435303321589308 -0.601968695257048 0.149568199036141 -0.10685072591188 -0.253927892572005 -0.078293136593322 0.465565860781458 0.0280464213044336 -0.0595632522502774 0.0919043815446301 -0.0706574852983462 -0.0224455384698453
"V2" 0.949073830509282 1 -0.599860639968171 -0.156617823487871 -0.107767718441126 0.0243597872638741 -0.246118737592161 0.0374894405133341 -0.301620101578725 -0.241406025689523 -0.0675903848988833 -0.177249765123788 -0.108339711804084 -0.0461084590780039 -0.0710226404841341 -0.660969125851825 0.167070767606995 -0.142376434465792 -0.251765471565774 -0.0841792647808097 0.523885872120146 0.0236020472883136 -0.0812239899764286 0.132827103217774 -0.0898602467455369 -0.0165257680779037
"V3" -0.544694154697329 -0.599860639968171 1 0.122264776948993 0.040638673698624 -0.0728385446597207 0.392644643698771 -0.0887754850525389 0.314860982764071 0.308710481768347 0.143805456854405 0.193895521923821 0.0410216028086168 0.0466881714656753 0.0225354704466852 0.902354767447918 0.230244559963173 0.0353926494387323 0.468520905487796 0.0617838618105714 -0.376561034075839 -0.0705598625510006 0.0448276281020195 -0.179924496930064 0.134043503244018 0.0776872382407922
"V4" -0.15787975706157 -0.156617823487871 0.122264776948993 1 -0.0278912481270429 -0.00383968334867858 -0.0465737764222035 -0.0415258914708086 0.0170951896726405 -0.0678004253730929 -0.0681448859053629 0.465473644316848 0.00289587407823938 -0.0513371305045931 -0.00272980730244629 0.135126058783991 -0.0393095862577284 -0.00606575544809244 0.060072000249444 -0.0563548679885511 -0.079221557072443 -0.00188782608662022 -0.00148141938752909 -0.0478258998433445 -0.0511462111286119 -0.0163320057019393
"V5" -0.113558222670101 -0.107767718441126 0.040638673698624 -0.0278912481270429 1 -0.060962932610449 -0.058936650099933 -0.0112859487182481 -0.0353904726905413 -0.0205600001298959 -0.0618082108004993 -0.0663712699779256 -0.0338095523181443 -0.0124584246371226 0.0136945915229381 0.0366775097006912 0.00729105694397029 -0.0302811063742856 -0.0401830077249394 -0.0165139489840182 0.0316678339646834 -0.0610286408396529 0.00321473316398941 -0.0385835577036885 0.0393598045492672 -0.039014815437926
"V6" 0.0286682170345019 0.0243597872638741 -0.0728385446597207 -0.00383968334867858 -0.060962932610449 1 -0.0596471903001466 0.0217241747453755 -0.105597090582307 -0.0744313340555356 -0.0677220341295414 -0.0194576004642151 -0.0480484312351053 -0.00525098385168673 -0.0420162985265964 -0.0568725794984514 -0.0554870157092426 -0.0172082960879541 -0.0287509455909961 -0.0376407048763071 0.00174375821630722 0.992895126965171 -0.0488617811749085 0.0217662295594102 0.0251765609248927 -0.0031331937346987
"V7" -0.238330363846009 -0.246118737592161 0.392644643698771 -0.0465737764222035 -0.058936650099933 -0.0596471903001466 1 -0.0651630600608522 0.461409044703463 0.0533642975793286 -0.0695793964654284 -0.0318257497925465 0.152105972286313 -0.0458228750798692 -0.0402396751048863 0.46575162832015 -0.15014801036522 0.0543818790180626 0.0834310048999585 0.140212832029669 -0.129445306284894 -0.057521598998046 -0.010549402522125 -0.0962533281304108 -0.00501423838680727 -0.0287813420476404
"V8" -0.00098660780882971 0.0374894405133341 -0.0887754850525389 -0.0415258914708086 -0.0112859487182481 0.0217241747453755 -0.0651630600608522 1 -0.0916197628234039 -0.039716131428349 -0.0151857260032943 -0.0275290956043911 -0.0294833083400978 -0.0217537645691761 -0.0366380003074527 -0.0662659580201633 -0.0576846903372565 -0.0411607421363679 -0.0653245642493639 -0.0230969561228038 0.101494829773636 0.0228435936201986 -0.0403625189601507 0.0322389328448255 0.00614396501711891 -0.0210522428061233
"V9" -0.259581749828006 -0.301620101578725 0.314860982764071 0.0170951896726405 -0.0353904726905413 -0.105597090582307 0.461409044703463 -0.0916197628234039 1 -0.11965858771983 -0.077960052147171 -0.00685503936786027 0.201581356391404 -0.0361410435039379 0.360451881904655 0.504293858717248 -0.380908021193529 0.161045276791189 -0.0752257466940436 -0.0769389631959206 -0.242819542496271 -0.102765341172453 0.34494705128337 -0.103893223213462 -0.0366728927896822 -0.0181025001838759
"V10" -0.215139550797564 -0.241406025689523 0.308710481768347 -0.0678004253730929 -0.0205600001298959 -0.0744313340555356 0.0533642975793286 -0.039716131428349 -0.11965858771983 1 -0.0393379812419554 -0.0847137884159084 -0.0280541156330007 -0.0236746650002082 -0.0461917051067347 0.365779256219209 -0.127631803105381 0.0947220324223006 0.0600555903461235 0.0562987203999138 -0.134141391290344 -0.0726685049383485 -0.0409058768688064 -0.0352391532011726 -0.005375514819911 -0.0396120337351513
