%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p3.cpp
@relation whole_set_p3
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data

24, 418, 1, no, no, yes, no, no, no, no, no, 2, yes
10, 126, 3, no, no, no, no, no, no, no, no, 6, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
2, 51, 3, no, no, no, no, no, no, no, yes, 6, yes
0, 0, 4, no, no, yes, no, no, no, no, no, 9, yes
0, 0, 5, no, no, yes, no, no, no, no, yes, 12, yes
4, 100, 3, no, no, no, no, no, no, no, no, 4, yes
0, 6, 3, no, no, yes, no, no, no, no, no, 7, yes
10, 163, 3, no, no, yes, no, no, no, no, no, 5, yes
10, 163, 3, no, no, yes, no, no, no, no, no, 5, yes
2, 13, 5, no, no, yes, no, no, no, no, no, 10, yes
4, 29, 4, no, no, yes, no, no, no, no, no, 8, yes
18, 228, 2, no, no, yes, no, no, no, no, no, 5, yes
14, 152, 2, no, no, yes, no, no, no, no, no, 6, yes
9, 105, 3, no, no, yes, no, no, no, no, no, 8, yes
14, 152, 2, no, no, yes, no, no, no, no, no, 6, yes
14, 152, 2, no, no, yes, no, no, no, no, no, 6, yes
14, 152, 2, no, no, yes, no, no, no, no, no, 6, yes
8, 36, 3, yes, no, no, no, no, no, no, yes, 8, yes
2, 7, 5, yes, no, no, no, no, no, no, yes, 11, yes
26, 413, 3, no, no, no, no, no, no, no, no, 4, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
1, 23, 3, no, no, no, no, no, no, no, no, 6, yes
