%Set of all the words. We don't separate training for testing here since we use fold evaluation 10 levels. Generated by p3.cpp
@relation whole_set_p3
@attribute d1 integer
@attribute d2 integer
@attribute vowels integer
@attribute c1 {yes,no}
@attribute c2 {yes,no}
@attribute c3 {yes,no}
@attribute c4 {yes,no}
@attribute c5 {yes,no}
@attribute c6 {yes,no}
@attribute c7 {yes,no}
@attribute c9 {yes,no}
@attribute w_length integer
@attribute difficult {yes,no}
@data

1, 15, 5, no, no, no, no, no, no, no, no, 10, yes
5, 50, 3, no, no, no, no, no, no, no, no, 7, yes
2, 51, 3, no, no, no, no, no, no, no, yes, 6, yes
2, 12, 4, yes, no, no, no, no, no, no, yes, 9, yes
2, 2, 6, no, no, no, no, no, no, no, no, 10, yes
26, 413, 3, no, no, no, no, no, no, no, no, 4, yes
7, 71, 4, no, no, yes, no, no, no, no, no, 8, yes
4, 33, 3, no, no, no, no, no, no, no, no, 7, yes
1, 5, 4, no, no, no, no, no, no, no, yes, 9, yes
6, 31, 4, no, no, no, no, no, no, no, no, 7, yes
6, 39, 5, no, no, no, no, no, no, no, no, 9, yes
1, 5, 4, no, no, no, no, no, no, no, no, 7, yes
3, 13, 6, no, no, no, no, yes, no, yes, no, 12, yes
10, 204, 3, no, no, no, no, no, no, no, no, 4, yes
13, 171, 3, no, no, no, no, no, no, no, no, 6, yes
17, 281, 2, no, no, no, no, no, no, no, no, 5, yes
14, 215, 2, no, no, no, no, no, no, no, no, 6, yes
10, 134, 2, yes, no, no, no, no, no, no, yes, 5, yes
4, 31, 7, no, no, no, no, no, no, no, no, 12, yes
3, 4, 4, no, no, no, no, no, no, no, no, 9, yes
6, 60, 3, no, no, no, no, no, no, no, no, 8, yes
4, 36, 3, no, no, no, no, no, no, no, yes, 8, yes
14, 197, 2, no, no, no, no, no, no, no, no, 6, yes
3, 4, 5, no, no, no, no, no, no, no, no, 12, yes
19, 349, 2, no, no, no, no, yes, no, no, no, 4, yes
11, 114, 3, no, no, no, no, no, no, no, no, 6, yes
1, 4, 6, no, no, no, yes, no, no, no, no, 12, yes
3, 15, 4, no, no, no, no, no, no, no, no, 8, yes
2, 10, 3, no, no, no, no, no, no, no, no, 8, yes
6, 55, 2, no, no, no, no, no, no, no, no, 6, yes
7, 49, 3, no, no, no, no, no, no, no, no, 8, yes
6, 17, 4, no, no, no, no, no, no, no, no, 12, yes
1, 5, 5, no, no, no, no, no, no, no, no, 12, yes
1, 34, 3, no, no, no, no, no, no, no, no, 7, yes
